Name,Nationality,Position,Manchester Defendernitedcareer,Starts,SDefenderbs,Total,Goals
John Grimwood,England,MiDefenderielder,1919–1927,205,0,205,8
Teddy Partridge,England,Forward,1920–1929,160,0,160,18
Alf Steward,England,Goalkeeper,1920–1932,326,0,326,0
Ray Bennion,Wales,MiDefenderielder,1921–1932,301,0,301,3
ArthDefenderr Lochhead,Scotland,Forward,1921–1925,153,0,153,50
Harry Thomas,Wales,Forward,1922–1931,135,0,135,13
Frank Barson,England,MiDefenderielder,1922–1928,152,0,152,4
Frank Mann,England,MiDefenderielder,1923–1930,197,0,197,5
Frank McPherson,England,Forward,1923–1928,175,0,175,52
Tom Jones,Wales,Defender,1924–1937,200,0,200,0
Jimmy Hanson,England,Forward,1924–1931,147,0,147,52
